gene,rna_lfc,rna_p,prot_lfc,prot_p,neglog10p,concordant,transcriptomic,proteomic,genomic,score
PIP4K2A,-0.2014970853206161,0.0006617875058444,-0.4569047622182149,8.893967617657097e-32,5.045757490560675,True,0.2014970853206161,0.4569047622182149,5.045757490560675,0.35173160173160173
HLA-B,-0.117432432432432,0.1556237533388801,-0.1805404466029767,0.0131759672378915,6.522878745280337,True,0.117432432432432,0.1805404466029767,6.522878745280337,0.35064935064935066
SMIM13,0.0335559088500279,0.5600545826987302,0.2678984896968447,0.025339392777831,6.221848749616356,True,0.0335559088500279,0.2678984896968447,6.221848749616356,0.34523809523809523
MTUS1,-0.0534870164281926,0.4919045819718005,0.38339352552164,5.561193088902123e-11,5.522878745280337,False,0.0534870164281926,0.38339352552164,5.522878745280337,0.3409090909090909
DTWD1,-0.1678457869634328,0.0005291407936515,-0.0426787363729502,0.3061709850462848,8.045757490560675,True,0.1678457869634328,0.0426787363729502,8.045757490560675,0.3203463203463204
ATXN2,0.028953365129837,0.5701229642443887,0.2899048569882856,2.7478485309848666e-21,6.0,True,0.028953365129837,0.2899048569882856,6.0,0.3181818181818181
DOCK1,0.0409962904080529,0.5429228512800004,-0.2040916458496042,3.04677174773453e-11,6.301029995663981,False,0.0409962904080529,0.2040916458496042,6.301029995663981,0.30952380952380953
ATXN2,0.028953365129837,0.5701229642443887,-0.2663583443248171,0.0243669085833179,6.0,False,0.028953365129837,0.2663583443248171,6.0,0.30735930735930733
TASP1,-0.0012612612612592,0.9784829170668884,-0.2208569442246568,2.7937581977945246e-10,6.698970004336019,True,0.0012612612612592,0.2208569442246568,6.698970004336019,0.3051948051948052
RELB,0.4051960784313717,3.108270774138646e-05,0.16502665244556,7.056167490749252e-08,5.221848749616356,True,0.4051960784313717,0.16502665244556,5.221848749616356,0.30086580086580084
